"","MaxL","K","n","AICc","dAICc","Model_L","Post_Pob"
"No.modules.default",-212.061554466067,2,1089,428.13415865589,764.959469092589,7.78326552728534e-167,7.78326552728534e-167
"X7.mod.same.Mod + same.between",-87.7389774420851,3,1089,181.500074699838,518.325385136538,2.79944991809729e-113,2.79944991809729e-113
"X7.mod.sep.Mod + same.between",-15.9470798409011,9,1089,50.0609808124788,386.886291249178,9.7433722039508e-85,9.7433722039508e-85
"X7.mod.same.Mod + sep.between",126.442287362208,23,1089,-205.847955006106,130.977355430593,3.61933382091454e-29,3.61933382091454e-29
"X7.mod.sep.Mod + sep.between",198.234184963392,29,1089,-336.825310436699,0,1,1
"X6.mod.same.Mod + same.between",-118.064024933492,3,1089,242.150169682653,578.975480119352,1.89265699174103e-126,1.89265699174103e-126
"X6.mod.sep.Mod + same.between",-39.2591233346855,8,1089,94.6515800027043,431.476890439403,2.0229432830627e-94,2.0229432830627e-94
"X6.mod.same.Mod + sep.between",71.0810207119147,17,1089,-107.590612852401,229.234697584298,1.66846802908304e-50,1.66846802908304e-50
"X6.mod.sep.Mod + sep.between",149.885922310722,22,1089,-254.822501281856,82.0028091548432,1.56068854123417e-18,1.56068854123417e-18
"X4.mod.same.Mod + same.between",-97.5699728651335,3,1089,201.162065545935,537.987375982634,1.50496236160264e-117,1.50496236160264e-117
"X4.mod.sep.Mod + same.between",-70.3363428996313,6,1089,152.750319810353,489.575630247052,4.89781813234324e-107,4.89781813234324e-107
"X4.mod.same.Mod + sep.between",-34.3109892807481,8,1089,84.7553118948295,421.580622331529,2.85056548300367e-92,2.85056548300367e-92
"X4.mod.sep.Mod + sep.between",-7.07735931524585,11,1089,36.3998439786811,373.22515441538,9.01960388409679e-82,9.01960388409679e-82
"X3.mod.same.Mod + same.between",-128.182605766993,3,1089,262.387331349653,599.212641786353,7.63181954271269e-131,7.63181954271269e-131
"X3.mod.sep.Mod + same.between",-90.1906676394203,5,1089,190.43673694089,527.26204737759,3.20997132962326e-115,3.20997132962326e-115
"X3.mod.same.Mod + sep.between",-73.2847849254119,5,1089,156.624971512874,493.450281949573,7.05720491392173e-108,7.05720491392173e-108
"X3.mod.sep.Mod + sep.between",-35.2928467978395,7,1089,84.6893013662618,421.514611802961,2.94621900179328e-92,2.94621900179328e-92
"X2.mod.same.Mod + same.between",-87.0820506259593,3,1089,180.186221067587,517.011531504286,5.39973434065067e-113,5.39973434065067e-113
"X2.mod.sep.Mod + same.between",-65.6568474245965,4,1089,139.350595218197,476.175905654896,3.97846809294531e-104,3.97846809294531e-104
"Larouche.1.same.Mod + same.between",-187.241537840584,3,1089,380.505195496835,717.330505933535,1.7126151680411e-156,1.7126151680411e-156
"Larouche.1.sep.Mod + same.between",-136.173310846186,4,1089,280.383522061375,617.208832498075,9.43636936636566e-135,9.43636936636566e-135
"Larouche.2.same.Mod + same.between",-209.039765757871,3,1089,424.101651331409,760.926961768108,5.84533877452216e-166,5.84533877452216e-166
"Larouche.2.sep.Mod + same.between",-209.039765757871,4,1089,426.116431884745,762.941742321444,2.13454663735738e-166,2.13454663735738e-166
"Larouche.4.same.Mod + same.between",-91.9725959825148,3,1089,189.967311780698,526.792622217397,4.05915403288058e-115,4.05915403288058e-115
"Larouche.4.sep.Mod + same.between",16.1533269126758,4,1089,-24.2697534563479,312.555556980351,1.34717234080432e-68,1.34717234080432e-68
"Larouche.5.same.Mod + same.between",-129.700866046448,3,1089,265.423851908564,602.249162345263,1.67207606924649e-131,1.67207606924649e-131
"Larouche.5.sep.Mod + same.between",-45.419562399068,5,1089,100.894526460186,437.719836896885,8.91959443817423e-96,8.91959443817423e-96
"Larouche.5.same.Mod + sep.between",-76.3912984594213,5,1089,162.837998580892,499.663309017592,3.15857389775764e-109,3.15857389775764e-109
"Larouche.5.sep.Mod + sep.between",7.89000518795856,7,1089,-1.67640260533433,335.148907831365,1.67239691004762e-73,1.67239691004762e-73


X7.mod.sep.Mod + sep.between 
,Module 7,Module 6,Module 4,Module 2,Module 1,Module 3,Module 5,7 to 6,7 to 4,7 to 2,7 to 1,7 to 3,7 to 5,6 to 4,6 to 2,6 to 1,6 to 3,6 to 5,4 to 2,4 to 1,4 to 3,4 to 5,2 to 1,2 to 3,2 to 5,1 to 3,1 to 5,3 to 5,unintegrated
"MaxL",1.8970455000561,1.90970055262166,-13.6540790639522,-307.721224454422,-11.1053138101275,6.97832792283579,-22.5822996216194,5.85775758788937,14.2011066229842,18.5694301651398,22.1310073314632,14.7319961237578,13.5513615476232,9.95419244807784,28.4782617118905,14.7653663137334,14.9902331091179,8.31635993839704,62.5187681921456,40.6705748135906,-2.96957272849918,9.58806668031962,80.0543215166252,49.2402996534191,56.4333578930659,21.7161556756661,35.4681606949152,24.2448226466769,0
"MaxL_p",0.91,0.84,0.35,0.53,0.48,0.41,0.77,0.81,0.3,0.17,0.27,0.07,0.57,0.3,0.16,0.38,0.05,0.68,0.26,0.26,0.46,0.37,0.33,0.35,0.24,0.31,0.2,0.28,0

